unit,logvar_accel_x,logvar_accel_y,logvar_accel_z,logvar_motor_current,label
,-1.393140971879358,-0.8695672638486545,-1.3094250902922633,-2.771026752163372,PATROL
,-1.3624081236236354,-0.9155791352040488,-1.2142450198155417,-3.063204131646894,PATROL
,-1.2087528461843617,-0.9520069790147893,-1.2841022167127902,-3.2553867463787407,PATROL
,-1.0116167683969135,-1.117974214592764,-1.325384860204575,-3.12978304248578,PATROL
,-1.1239720768481254,-0.9209964711354752,-1.4279301747115292,-3.294495401600916,PATROL
,-1.2582179793786035,-0.7676378452762979,-1.5305491133571196,-3.3434424187540266,PATROL
,-1.3240473822330059,-0.7445696023860566,-1.5034702647308757,-3.3064001935011955,PATROL
,-1.3886468010764255,-0.8752069701389737,-1.2336582864767023,-3.1562196922715016,PATROL
,-1.4090662134806329,-0.7151117883382675,-1.4774206965517334,-3.263203674944895,PATROL
,-1.1386491066256677,-0.8786872598310385,-1.4584907676337844,-3.4472255437956774,PATROL
,-1.2140247145024698,-0.8985444916308462,-1.3852478264117414,-3.088355568889467,PATROL
,-1.0404710601292673,-1.058304329471631,-1.5106364305480855,-2.5395922413458663,PATROL
,-1.096670750327749,-1.0889216984706087,-1.3485335573278079,-2.661850159245133,PATROL
,-1.1573217327364826,-0.9324524976300973,-1.4896062859619776,-2.708683881687625,PATROL
,-1.2682871290595847,-0.8838484506207929,-1.3606247931600906,-3.016001048968838,PATROL
,-1.4127401545985399,-0.883717307457353,-1.2086501250008017,-3.108211112739189,PATROL
,-1.3513662902506245,-0.942450558713871,-1.160299469911365,-3.2688639500064536,PATROL
,-1.1288797833421682,-1.0908714588171164,-1.1895067640976158,-3.315670434517375,PATROL
,-1.029258778982378,-1.1609456746115612,-1.2693847054260643,-3.0254909830440004,PATROL
,-1.1018151965804515,-1.1065405703228823,-1.2429272702163894,-3.0263312334656045,PATROL
,-1.0233996894944666,-1.2091091911117076,-1.2043383452395677,-3.163547632166314,PATROL
,-0.9656719357398652,-1.1407888413484808,-1.3602686620087563,-3.143906477564945,PATROL
,-1.1719505535067867,-0.904292529340637,-1.4387252006969713,-3.032817892104461,PATROL
,-1.4873693401455503,-0.7173102532616855,-1.4446910481268627,-2.992706764035819,PATROL
,-1.4119484588140216,-0.9541433292978612,-1.1626343369987204,-2.838240194326677,PATROL
,-1.4529943369572096,-0.828594500746479,-1.3432391916139703,-2.681365614903257,PATROL
,-1.0445406107809185,-1.029677316499251,-1.4216276159087133,-3.001680301129119,PATROL
,-0.9622906866431953,-1.175327929011604,-1.3270392271392455,-3.1234748882184813,PATROL
,-1.0386091124808658,-1.171566409647475,-1.2880676999189542,-2.80727959815348,PATROL
,-0.9661708263167622,-1.1497605395750474,-1.3875222391038773,-2.9363925227115475,PATROL
,-1.265505371607604,-1.0054428164645435,-1.2210248163689095,-2.8630744929449126,PATROL
,-1.2229883601374343,-0.83153259284038,-1.4738025766982963,-3.1889185111173632,PATROL
,-1.31381002026424,-0.808132779401712,-1.4284468575247884,-3.0826936440114543,PATROL
,-1.2028780046644325,-0.9262438741553767,-1.3162739276941982,-3.338212284113307,PATROL
,-1.1975516621335827,-0.9781748918933685,-1.3075973114414525,-2.9642021655604567,PATROL
,-1.2083551671558976,-1.0103450749824416,-1.3559672066695623,-2.5317393328242495,PATROL
,-1.1120452298751726,-1.0568949457519698,-1.3398201638826663,-2.7856599309381473,PATROL
,-0.8629447877129978,-1.172666795160847,-1.5711091991188006,-2.8013619031874675,PATROL
,-0.9360252778270035,-1.109416706690543,-1.4297264644596068,-3.2521534230243483,PATROL
,-1.072765960244966,-0.9491358923104499,-1.4192756405454379,-3.5413426776641823,PATROL
,-1.2770404446268373,-0.7792378747906428,-1.4546686124983617,-3.543727404726533,PATROL
,-1.0847627233086683,-1.0677512433472736,-1.2814515376870006,-3.2039062122754727,PATROL
,-1.169963466082783,-1.063888989890297,-1.2545505021878718,-2.8250340421082085,PATROL
,-1.2725179687207697,-1.1586151659324748,-1.1001438257236322,-2.6155057387251732,PATROL
,-1.2867761723488553,-1.0451469979766164,-1.1810563539940937,-2.7295917742387283,PATROL
,-1.5711350138739555,-0.780731098705582,-1.2247566902425724,-3.2116360709528937,PATROL
,-1.3733191718845288,-0.806750313738915,-1.3145578442069112,-3.4471593413564894,PATROL
,-1.178655569836177,-1.0022303104221826,-1.3074682946371556,-2.9050880177623757,PATROL
,-1.2286797139668597,-0.9636370391176103,-1.3277931375862109,-2.8008751506767697,PATROL
,-1.1377823842175805,-0.9372102979017042,-1.3641468317078416,-3.437242934525115,PATROL
,-1.2446372841683857,-0.92621646750005,-1.261302790868782,-3.4228124472663812,PATROL
,-1.2716146469721283,-0.9472802134035011,-1.2515961634225554,-3.0839233665854007,PATROL
,-1.3447626060693625,-0.8327022183324971,-1.3652445981598489,-3.011706388292856,PATROL
,-1.154010026611704,-0.9205478370174134,-1.3880587029104439,-3.303064029413231,PATROL
,-1.1367332658475073,-0.8858941967427134,-1.4899840522757952,-3.184161263439364,PATROL
,-1.2463294742051543,-0.7393422918193419,-1.6829319290151283,-3.012156698715218,PATROL
,-0.9737096875937007,-1.0754154249005075,-1.484526885969203,-2.908543937659272,PATROL
,-1.154765935534638,-0.9503271753872226,-1.3788617761539068,-3.0706901169392515,PATROL
,-1.1782731706272112,-0.9588120025803251,-1.2782328845081308,-3.4961755094504583,PATROL
